loss,val_loss
"0,0938","0,035"
"0,0407","0,039"
"0,0374","0,053"
"0,0361","0,042"
"0,0354","0,036"
"0,0349","0,040"
"0,0342","0,034"
"0,0337","0,034"
"0,0333","0,030"
"0,0329","0,036"
"0,0328","0,035"
"0,0324","0,046"
"0,0323","0,044"
"0,0322","0,038"
"0,0320","0,036"
"0,0317","0,034"
"0,0315","0,036"
"0,0314","0,039"
"0,0312","0,033"
"0,0310","0,039"
"0,0309","0,038"
"0,0308","0,032"
"0,0306","0,042"
"0,0306","0,029"
"0,0304","0,031"
"0,0303","0,037"
"0,0301","0,029"
"0,0299","0,032"
"0,0298","0,030"
"0,0297","0,036"
"0,0296","0,053"
"0,0296","0,031"
"0,0295","0,029"
"0,0294","0,029"
"0,0293","0,035"
"0,0293","0,031"
"0,0292","0,031"
"0,0290","0,026"
"0,0290","0,030"
"0,0289","0,036"
"0,0289","0,029"
"0,0288","0,039"
"0,0287","0,029"
"0,0287","0,033"
"0,0286","0,033"
"0,0285","0,029"
"0,0285","0,029"
"0,0284","0,033"
"0,0284","0,036"
"0,0282","0,032"
"0,0282","0,032"
"0,0281","0,032"
"0,0280","0,028"
"0,0280","0,032"
"0,0280","0,034"
"0,0278","0,033"
"0,0277","0,029"
"0,0276","0,045"
"0,0275","0,038"
"0,0274","0,031"
"0,0274","0,035"
"0,0272","0,034"
"0,0243","0,025"
"0,0243","0,025"
"0,0243","0,025"
"0,0243","0,025"
"0,0242","0,025"
"0,0242","0,025"
"0,0242","0,025"
"0,0242","0,025"
"0,0242","0,025"
"0,0242","0,025"
"0,0242","0,025"
"0,0241","0,025"
"0,0241","0,025"
"0,0241","0,025"
"0,0241","0,025"
"0,0241","0,025"
"0,0241","0,025"
"0,0241","0,025"
"0,0241","0,025"
"0,0241","0,025"
"0,0240","0,025"
"0,0240","0,025"
"0,0240","0,025"
"0,0240","0,025"
"0,0240","0,025"
"0,0240","0,025"
"0,0240","0,025"
"0,0240","0,025"
"0,0240","0,025"
"0,0239","0,025"
"0,0239","0,025"
"0,0239","0,025"
"0,0239","0,025"
"0,0239","0,025"
"0,0239","0,025"
"0,0239","0,025"
"0,0239","0,025"
"0,0239","0,025"
"0,0239","0,025"
"0,0239","0,025"
"0,0238","0,025"
"0,0238","0,026"
"0,0237","0,024"
"0,0237","0,024"
"0,0237","0,024"
"0,0236","0,024"
"0,0236","0,025"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,025"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
"0,0236","0,024"
